"sqlName","symbol","owner","reads","writes","references"
"subscription_period_limits","subscriptionPeriodLimits","quotas","src/lib/quota-entitlements.ts ; src/modules/quotas/server.ts","src/lib/db/seed.ts ; src/modules/subscriptions/server.ts","src/lib/db/types.ts"
"commission_settlements","commissionSettlements","commissions","src/app/(dashboard)/restaurateur/facturation/page.tsx ; src/lib/commissions/ledger.ts","src/lib/commissions/ledger.ts","src/lib/db/types.ts"
"commission_policy_settings","commissionPolicySettings","commissions","src/app/(dashboard)/admin/parametres/page.tsx ; src/lib/commissions/ledger.ts","src/lib/commissions/ledger.ts",""
"commission_debt_cycles","commissionDebtCycles","commissions","src/lib/commissions/ledger.ts","src/lib/commissions/ledger.ts",""
"creneaux_horaires","creneauxHoraires","restaurants","src/app/(dashboard)/restaurateur/profil/page.tsx ; src/lib/db/queries.ts ; src/lib/quota-entitlements.ts","src/lib/db/mutations.ts ; src/lib/db/seed.ts","src/lib/db/types.ts"
"categories","categories","menu","src/app/(dashboard)/restaurateur/menu/[id]/page.tsx ; src/app/(dashboard)/restaurateur/menu/new/page.tsx ; src/app/(dashboard)/restaurateur/menu/page.tsx ; src/app/api/restaurateur/categories/route.ts ; src/app/api/restaurateur/plats/route.ts ; src/lib/actions/menu.ts ; src/lib/db/queries.ts ; src/lib/quota-entitlements.ts","src/lib/db/mutations.ts ; src/lib/db/seed.ts","src/lib/db/types.ts ; src/lib/orders/restaurant-order.ts"
"plats","plats","menu","src/app/(dashboard)/restaurateur/commandes/[id]/page.tsx ; src/app/(dashboard)/restaurateur/menu/page.tsx ; src/app/api/restaurateur/plats/route.ts ; src/lib/db/queries.ts ; src/lib/quota-entitlements.ts","src/lib/db/mutations.ts ; src/lib/db/seed.ts","src/lib/db/types.ts ; src/lib/orders/restaurant-order.ts"
"clients","clients","clients","src/app/api/v1/client/auth/login/route.ts ; src/app/api/v1/client/auth/me/route.ts ; src/app/api/v1/client/auth/refresh/route.ts ; src/app/api/v1/client/auth/register/route.ts ; src/lib/api/auth-client.ts ; src/lib/db/mutations.ts ; src/lib/db/queries-admin.ts ; src/lib/db/queries.ts ; src/lib/orders/restaurant-order.ts ; src/modules/residences/server.ts ; src/modules/transactions/payment-service.ts","src/app/api/v1/client/auth/me/route.ts ; src/app/api/v1/client/auth/register/route.ts ; src/lib/db/mutations-admin.ts ; src/lib/db/mutations.ts ; src/lib/db/seed.ts","src/lib/db/types.ts"
"commandes","commandes","orders","src/app/(dashboard)/restaurateur/commandes/[id]/page.tsx ; src/app/(dashboard)/restaurateur/commandes/page.tsx ; src/app/api/commandes/[id]/statut/route.ts ; src/app/api/v1/client/commandes/[id]/route.ts ; src/app/api/v1/client/commandes/[id]/stream/route.ts ; src/app/api/v1/client/commandes/route.ts ; src/app/api/v1/client/restaurants/[slug]/route.ts ; src/lib/db/queries-admin.ts ; src/lib/db/queries.ts ; src/lib/orders/restaurant-order-effects.ts ; src/lib/orders/restaurant-order.ts ; src/modules/deliveries/_internal/persistence.ts ; src/modules/deliveries/_internal/projections.ts ; src/modules/deliveries/_internal/workflow.ts ; src/modules/transactions/payment-service.ts","src/lib/db/commandes-mutations.ts ; src/lib/db/seed.ts ; src/lib/orders/provider-confirmation.ts ; src/lib/orders/restaurant-order.ts","src/lib/db/types.ts"
"transactions","financialTransactions","transactions","src/app/api/v1/client/commandes/[id]/route.ts ; src/lib/db/queries-admin.ts ; src/modules/deliveries/_internal/projections.ts ; src/modules/subscriptions/server.integration.test.ts ; src/modules/transactions/_internal/persistence.ts ; src/modules/transactions/payment-service.ts ; src/modules/transactions/server.ts","src/modules/transactions/_internal/persistence.ts","src/lib/db/types.ts"
"payments","payments","transactions","src/app/api/v1/client/commandes/[id]/route.ts ; src/lib/db/queries-admin.ts ; src/modules/deliveries/_internal/projections.ts ; src/modules/transactions/_internal/persistence.ts ; src/modules/transactions/payment-service.ts","src/modules/transactions/_internal/persistence.ts ; src/modules/transactions/payment-service.ts","src/lib/db/types.ts"
"livreurs","livreurs","deliveries","src/lib/db/queries.ts ; src/modules/deliveries/_internal/persistence.ts ; src/modules/deliveries/_internal/projections.ts ; src/modules/deliveries/_internal/workflow.ts","src/lib/db/mutations.ts ; src/modules/deliveries/_internal/persistence.ts ; src/modules/deliveries/_internal/workflow.ts","src/lib/db/types.ts"
"livraisons","livraisons","deliveries","src/app/(dashboard)/restaurateur/commandes/[id]/page.tsx ; src/app/(dashboard)/restaurateur/commandes/page.tsx ; src/app/api/v1/client/commandes/[id]/route.ts ; src/modules/deliveries/_internal/persistence.ts ; src/modules/deliveries/_internal/projections.ts ; src/modules/deliveries/_internal/workflow.ts","src/lib/db/mutations.ts ; src/modules/deliveries/_internal/persistence.ts ; src/modules/deliveries/_internal/workflow.ts","src/lib/db/types.ts"
"delivery_offers","deliveryOffers","deliveries","src/modules/deliveries/_internal/persistence.ts ; src/modules/deliveries/_internal/projections.ts ; src/modules/deliveries/_internal/workflow.ts","src/modules/deliveries/_internal/persistence.ts ; src/modules/deliveries/_internal/workflow.ts",""
"delivery_events","deliveryEvents","deliveries","src/modules/deliveries/_internal/projections.ts","src/modules/deliveries/_internal/persistence.ts",""
"driver_cash_remittances","driverCashRemittances","deliveries","","src/modules/deliveries/_internal/workflow.ts",""
"driver_cash_collections","driverCashCollections","deliveries","src/modules/deliveries/_internal/persistence.ts ; src/modules/deliveries/_internal/projections.ts ; src/modules/deliveries/_internal/workflow.ts","src/modules/deliveries/_internal/workflow.ts",""
"promotions","promotions","menu / orders à trancher","src/lib/db/queries.ts","src/lib/db/mutations.ts","src/lib/db/types.ts"
"avis","avis","restaurants / clients à trancher","src/lib/db/mutations.ts ; src/lib/db/queries.ts","src/lib/db/mutations.ts","src/lib/db/types.ts"
"notifications","notifications","notifications","src/app/api/notifications/count/route.ts ; src/app/api/notifications/route.ts ; src/lib/db/queries.ts ; src/modules/notifications/server.ts","src/app/api/notifications/route.ts ; src/lib/db/mutations.ts ; src/lib/notifications/index.ts ; src/modules/notifications/server.ts","src/lib/db/types.ts"
"audit_log","auditLog","audit","src/lib/db/queries-admin.ts","src/lib/audit.ts",""
"commissions","commissions","commissions","src/app/(dashboard)/restaurateur/facturation/page.tsx ; src/lib/commissions/ledger.ts ; src/lib/db/queries-admin.ts ; src/modules/transactions/payment-service.ts","src/lib/commissions/ledger.ts ; src/modules/commissions/_internal/persistence.ts",""
"commission_settlement_allocations","commissionSettlementAllocations","commissions","","src/lib/commissions/ledger.ts",""
"push_subscriptions","pushSubscriptions","notifications","src/app/api/push/web/subscribe/route.ts ; src/app/api/v1/push/expo/register/route.ts ; src/lib/notifications/index.ts","src/app/api/push/web/subscribe/route.ts ; src/app/api/v1/push/expo/register/route.ts ; src/lib/notifications/index.ts ; src/modules/notifications/server.ts",""
