"file","owner","hardcodedColor","rawControls","inlineStyles","missingAlt","libraries"
"src/components/client-app/restaurant-bottom-sheet.tsx","restaurants","0","0","0","0","@/components/ui/badge ; @/components/ui/button ; @/components/ui/skeleton"
"src/components/client-app/restaurant-map.tsx","restaurants","5","0","2","0","@/components/ui/alert ; @/components/ui/button ; @/components/ui/map"
"src/components/dashboard/commandes/client-info.tsx","orders","0","0","0","0","@/components/ui/badge ; @/components/ui/button ; @/components/ui/card"
"src/components/dashboard/commandes/commande-details-page-client.tsx","orders","0","0","0","0",""
"src/components/dashboard/commandes/commandes-page-client.tsx","orders","0","0","0","0","@/components/motion/tabs ; @/components/ui/badge ; @/components/ui/date-picker ; @/components/ui/input ; @/components/ui/select"
"src/components/dashboard/commandes/delivery-map.tsx","deliveries","4","0","0","0","@/components/ui/card ; @/components/ui/map"
"src/components/dashboard/commandes/driver-info.tsx","orders","2","0","0","0","@/components/ui/badge ; @/components/ui/button ; @/components/ui/card ; @/components/ui/dialog ; @/components/ui/select"
"src/components/dashboard/commandes/footer.tsx","orders","0","0","0","0",""
"src/components/dashboard/commandes/order-card.tsx","orders","8","0","0","0","@/components/ui/alert-dialog ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/card"
"src/components/dashboard/commandes/order-details-header.tsx","orders","12","0","0","0","@/components/ui/badge ; @/components/ui/button ; @/components/ui/card"
"src/components/dashboard/commandes/order-filters.tsx","orders","14","0","0","0","@/components/motion/tabs ; @/components/ui/badge"
"src/components/dashboard/commandes/order-items-table.tsx","orders","9","1","0","0","@/components/ui/alert ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/card"
"src/components/dashboard/commandes/order-status-control.tsx","orders","2","0","0","0","@/components/ui/alert-dialog ; @/components/ui/button ; @/components/ui/dropdown-menu"
"src/components/dashboard/commandes/order-tracking.tsx","orders","0","0","0","0","@/components/ui/alert ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/card"
"src/components/dashboard/commandes/receipt-print-content.tsx","orders","0","1","7","0",""
"src/components/dashboard/commandes/skeletons.tsx","orders","0","0","0","0","@/components/ui/card ; @/components/ui/skeleton"
"src/components/dashboard/layout/dashboard-realtime-provider.tsx","shared/ui dashboard","0","0","0","0",""
"src/components/dashboard/layout/footer.tsx","shared/ui dashboard","0","0","0","0",""
"src/components/dashboard/layout/header.tsx","shared/ui dashboard","0","0","0","0","@/components/ui/avatar ; @/components/ui/button ; @/components/ui/dropdown-menu"
"src/components/dashboard/layout/navbar.tsx","shared/ui dashboard","8","0","0","0","@/components/ui/button"
"src/components/dashboard/layout/sidebar.tsx","shared/ui dashboard","0","0","0","0","@/components/ui/app-logo ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/sheet"
